,time_p1,time_p1,speed_p1,speed_p1,time_p2,time_p2,speed_p2,speed_p2,time_p4,time_p4,speed_p4,speed_p4
block,0.116262,0.116262,1.0000,1.0000,0.0610951,0.0610951,1.9030,1.9030,0.0356226,0.0356226,3.2637,3.2637
col,0.128152,0.128152,1.0000,1.0000,0.062148,0.062148,2.0620,2.0620,0.0373596,0.0373596,3.4302,3.4302
row,0.134046,0.134046,1.0000,1.0000,0.0599347,0.0599347,2.2365,2.2365,0.0387393,0.0387393,3.4602,3.4602
