,time_p1,time_p1,speed_p1,speed_p1,time_p2,time_p2,speed_p2,speed_p2,time_p4,time_p4,speed_p4,speed_p4
block,0.00113322,0.00113322,1.0000,1.0000,0.000581214,0.000581214,1.9498,1.9498,0.000428853,0.000428853,2.6424,2.6424
col,0.00108345,0.00108345,1.0000,1.0000,0.000540352,0.000540352,2.0051,2.0051,0.000275491,0.000275491,3.9328,3.9328
row,0.00111641,0.00111641,1.0000,1.0000,0.00055336,0.00055336,2.0175,2.0175,0.000294184,0.000294184,3.7949,3.7949
