,time_p1,time_p1,speed_p1,speed_p1,time_p2,time_p2,speed_p2,speed_p2,time_p4,time_p4,speed_p4,speed_p4
block,0.0310769,0.0310769,1.0000,1.0000,0.0161519,0.0161519,1.9240,1.9240,0.00935248,0.00935248,3.3229,3.3229
col,0.0311784,0.0311784,1.0000,1.0000,0.0158956,0.0158956,1.9614,1.9614,0.00940711,0.00940711,3.3143,3.3143
row,0.0325795,0.0325795,1.0000,1.0000,0.0153197,0.0153197,2.1266,2.1266,0.00906714,0.00906714,3.5931,3.5931
